고객ID,성별,연령대,거주지역,연간구매금액_만원,월방문횟수,선호카테고리,회원등급,마케팅동의,만족도점수,이탈위험도
CUST_1001,여성,30대,서울,340,12,패션/뷰티,VIP,동의,4.8,낮음
CUST_1002,남성,20대,경기,120,4,전자기기,일반,미동의,3.9,보통
CUST_1003,여성,40대,부산,580,24,생활/가전,VVIP,동의,4.9,낮음
CUST_1004,남성,30대,대구,210,8,식음료,골드,동의,4.2,낮음
CUST_1005,남성,50대,인천,95,2,스포츠/레저,일반,미동의,3.5,높음
CUST_1006,여성,20대,서울,420,18,패션/뷰티,VIP,동의,4.7,낮음
CUST_1007,여성,30대,경기,160,6,도서/문화,실버,동의,4.1,보통
CUST_1008,남성,40대,대전,310,10,전자기기,골드,동의,4.4,낮음
CUST_1009,남성,60대,광주,80,1,식음료,일반,미동의,3.2,높음
CUST_1010,여성,50대,서울,490,15,생활/가전,VIP,동의,4.6,낮음
CUST_1011,여성,20대,울산,230,9,패션/뷰티,실버,동의,4.3,보통
CUST_1012,남성,30대,세종,380,14,전자기기,VIP,동의,4.8,낮음
CUST_1013,남성,50대,경기,140,5,스포츠/레저,실버,미동의,3.8,보통
CUST_1014,여성,40대,제주,290,11,식음료,골드,동의,4.5,낮음
CUST_1015,남성,20대,서울,175,7,패션/뷰티,실버,동의,4.0,보통
